u,v,w
91,92,3.9582
92,91,3.9582
91,106,4.0714
106,91,4.0714
92,93,4.6132
93,92,4.6132
92,107,2.0738
107,92,2.0738
93,94,3.2641
94,93,3.2641
93,108,4.6482
108,93,4.6482
94,95,3.6449
95,94,3.6449
94,109,2.6168
109,94,2.6168
95,96,1.9134
96,95,1.9134
95,110,3.9552
110,95,3.9552
96,97,3.3744
97,96,3.3744
96,111,3.3574
111,96,3.3574
97,98,3.5946
98,97,3.5946
97,112,1.9084
112,97,1.9084
98,99,1.7327
99,98,1.7327
98,113,1.5634
113,98,1.5634
99,100,3.8824
100,99,3.8824
99,114,4.1532
114,99,4.1532
100,101,3.9183
101,100,3.9183
100,115,4.1416
115,100,4.1416
101,102,4.2920
102,101,4.2920
101,116,1.4316
116,101,1.4316
102,103,3.4478
103,102,3.4478
102,117,1.9207
117,102,1.9207
103,104,3.8985
104,103,3.8985
103,118,3.7515
118,103,3.7515
104,119,2.3245
119,104,2.3245
105,106,4.0731
106,105,4.0731
105,120,3.8401
120,105,3.8401
106,107,1.1817
107,106,1.1817
106,121,1.5521
121,106,1.5521
107,108,3.7979
108,107,3.7979
107,122,4.1157
122,107,4.1157
108,109,1.1073
109,108,1.1073
108,123,2.9325
123,108,2.9325
109,110,2.4539
110,109,2.4539
109,124,1.5272
124,109,1.5272
110,111,3.9158
111,110,3.9158
110,125,1.1827
125,110,1.1827
111,112,4.4674
112,111,4.4674
111,126,1.4366
126,111,1.4366
112,113,1.0069
113,112,1.0069
112,127,3.5195
127,112,3.5195
113,114,1.7727
114,113,1.7727
113,128,3.3289
128,113,3.3289
114,115,1.7147
115,114,1.7147
114,129,4.7893
129,114,4.7893
115,116,4.3176
116,115,4.3176
115,130,4.0352
130,115,4.0352
116,117,4.6988
117,116,4.6988
116,131,4.5021
131,116,4.5021
117,118,4.2632
118,117,4.2632
117,132,1.6256
132,117,1.6256
118,119,1.9989
119,118,1.9989
118,133,2.0044
133,118,2.0044
119,134,1.2559
134,119,1.2559
120,121,1.5963
121,120,1.5963
120,135,4.5657
135,120,4.5657
121,122,3.9164
122,121,3.9164
121,136,1.8119
136,121,1.8119
122,123,1.1929
123,122,1.1929
122,137,1.7940
137,122,1.7940
123,124,1.1984
124,123,1.1984
123,138,3.2589
138,123,3.2589
124,125,3.2231
125,124,3.2231
124,139,4.4723
139,124,4.4723
125,126,3.1009
126,125,3.1009
125,140,3.5063
140,125,3.5063
126,127,1.6666
127,126,1.6666
126,141,4.4277
141,126,4.4277
127,128,3.6744
128,127,3.6744
127,142,4.9641
142,127,4.9641
128,129,4.3612
129,128,4.3612
128,143,3.4248
143,128,3.4248
129,130,3.9718
130,129,3.9718
129,144,3.7691
144,129,3.7691
130,131,3.2212
131,130,3.2212
130,145,1.9602
145,130,1.9602
131,132,1.6718
132,131,1.6718
131,146,3.9065
146,131,3.9065
132,133,3.7090
133,132,3.7090
132,147,1.7314
147,132,1.7314
133,134,3.9436
134,133,3.9436
133,148,2.7312
148,133,2.7312
134,149,1.4226
149,134,1.4226
135,136,3.9769
136,135,3.9769
135,150,1.0266
150,135,1.0266
136,137,2.9508
137,136,2.9508
136,151,4.1207
151,136,4.1207
137,138,2.1609
138,137,2.1609
137,152,1.6458
152,137,1.6458
138,139,1.6020
139,138,1.6020
138,153,2.4139
153,138,2.4139
139,140,1.0951
140,139,1.0951
139,154,4.5146
154,139,4.5146
140,141,4.9155
141,140,4.9155
140,155,4.9336
155,140,4.9336
141,142,2.2378
142,141,2.2378
141,156,3.7061
156,141,3.7061
142,143,2.4164
143,142,2.4164
142,157,3.8908
157,142,3.8908
143,144,3.7561
144,143,3.7561
143,158,3.5393
158,143,3.5393
144,145,2.7062
145,144,2.7062
144,159,3.3444
159,144,3.3444
145,146,1.2701
146,145,1.2701
145,160,4.7255
160,145,4.7255
146,147,3.9061
147,146,3.9061
146,161,3.4589
161,146,3.4589
147,148,2.1516
148,147,2.1516
147,162,2.2272
162,147,2.2272
148,149,4.3972
149,148,4.3972
148,163,4.0079
163,148,4.0079
149,164,4.2689
164,149,4.2689
150,151,4.3217
151,150,4.3217
150,165,2.6869
165,150,2.6869
151,152,1.5573
152,151,1.5573
151,166,2.6148
166,151,2.6148
152,153,1.2031
153,152,1.2031
152,167,1.6016
167,152,1.6016
153,154,1.8106
154,153,1.8106
153,168,4.0184
168,153,4.0184
154,155,4.3469
155,154,4.3469
154,169,1.4115
169,154,1.4115
155,156,4.7842
156,155,4.7842
155,170,3.8317
170,155,3.8317
156,157,1.0234
157,156,1.0234
156,171,4.7144
171,156,4.7144
157,158,1.6270
158,157,1.6270
157,172,2.0186
172,157,2.0186
158,159,4.5848
159,158,4.5848
158,173,1.5222
173,158,1.5222
159,160,4.1974
160,159,4.1974
159,174,2.8783
174,159,2.8783
160,161,1.6852
161,160,1.6852
160,175,1.6761
175,160,1.6761
161,162,3.7368
162,161,3.7368
161,176,2.5952
176,161,2.5952
162,163,4.5754
163,162,4.5754
162,177,1.3040
177,162,1.3040
163,164,4.0889
164,163,4.0889
163,178,3.1132
178,163,3.1132
164,179,3.6957
179,164,3.6957
165,166,3.0261
166,165,3.0261
165,180,2.8670
180,165,2.8670
166,167,1.1433
167,166,1.1433
166,181,3.0093
181,166,3.0093
167,168,1.3254
168,167,1.3254
167,182,3.7470
182,167,3.7470
168,169,1.0666
169,168,1.0666
168,183,4.7311
183,168,4.7311
169,170,2.4359
170,169,2.4359
169,184,1.9186
184,169,1.9186
170,171,4.6320
171,170,4.6320
170,185,3.8825
185,170,3.8825
171,172,3.5655
172,171,3.5655
171,186,1.8327
186,171,1.8327
172,173,4.8412
173,172,4.8412
172,187,1.3403
187,172,1.3403
173,174,1.1000
174,173,1.1000
173,188,3.9009
188,173,3.9009
174,175,1.0647
175,174,1.0647
174,189,2.2279
189,174,2.2279
175,176,1.5083
176,175,1.5083
175,190,2.0747
190,175,2.0747
176,177,2.7128
177,176,2.7128
176,191,2.9800
191,176,2.9800
177,178,2.7425
178,177,2.7425
177,192,3.3926
192,177,3.3926
178,179,1.4178
179,178,1.4178
178,193,4.6145
193,178,4.6145
179,194,3.2716
194,179,3.2716
180,181,2.2518
181,180,2.2518
180,195,4.6264
195,180,4.6264
181,182,4.2692
182,181,4.2692
181,196,3.0173
196,181,3.0173
182,183,1.6573
183,182,1.6573
182,197,2.8559
197,182,2.8559
183,184,2.8902
184,183,2.8902
183,198,3.8061
198,183,3.8061
184,185,4.9132
185,184,4.9132
184,199,1.9591
199,184,1.9591
185,186,1.5694
186,185,1.5694
185,200,2.8488
200,185,2.8488
186,187,4.9952
187,186,4.9952
186,201,1.9792
201,186,1.9792
187,188,4.5136
188,187,4.5136
187,202,1.1187
202,187,1.1187
188,189,2.1422
189,188,2.1422
188,203,3.7859
203,188,3.7859
189,190,2.6387
190,189,2.6387
189,204,3.1699
204,189,3.1699
190,191,2.2629
191,190,2.2629
190,205,1.9823
205,190,1.9823
191,192,3.4772
192,191,3.4772
191,206,3.5921
206,191,3.5921
192,193,3.3029
193,192,3.3029
192,207,4.6452
207,192,4.6452
193,194,4.3872
194,193,4.3872
193,208,4.7772
208,193,4.7772
194,209,1.1737
209,194,1.1737
195,196,1.0049
196,195,1.0049
195,210,1.9490
210,195,1.9490
196,197,4.6444
197,196,4.6444
196,211,3.8678
211,196,3.8678
197,198,4.7146
198,197,4.7146
197,212,4.9104
212,197,4.9104
198,199,4.2843
199,198,4.2843
198,213,3.8355
213,198,3.8355
199,200,1.6218
200,199,1.6218
199,214,3.6894
214,199,3.6894
200,201,1.8206
201,200,1.8206
200,215,3.5741
215,200,3.5741
201,202,4.3342
202,201,4.3342
201,216,4.3765
216,201,4.3765
202,203,3.9490
203,202,3.9490
202,217,1.6546
217,202,1.6546
203,204,3.6153
204,203,3.6153
203,218,2.6592
218,203,2.6592
204,205,4.1973
205,204,4.1973
204,219,1.5170
219,204,1.5170
205,206,3.0514
206,205,3.0514
205,220,3.0332
220,205,3.0332
206,207,4.2052
207,206,4.2052
206,221,3.8765
221,206,3.8765
207,208,2.2570
208,207,2.2570
207,222,3.8224
222,207,3.8224
208,209,3.0181
209,208,3.0181
208,223,2.0016
223,208,2.0016
209,224,2.1459
224,209,2.1459
210,211,1.2207
211,210,1.2207
211,212,4.1672
212,211,4.1672
212,213,3.4813
213,212,3.4813
213,214,4.9705
214,213,4.9705
214,215,2.0441
215,214,2.0441
215,216,4.6802
216,215,4.6802
216,217,2.8104
217,216,2.8104
217,218,4.5333
218,217,4.5333
218,219,1.8668
219,218,1.8668
219,220,2.9073
220,219,2.9073
220,221,4.0081
221,220,4.0081
221,222,3.6373
222,221,3.6373
222,223,1.7152
223,222,1.7152
223,224,3.4875
224,223,3.4875
