id,x,y
120,18.4066,71.0231
121,70.2362,76.2706
122,49.3044,60.1392
123,26.4678,10.4206
124,61.0858,77.9784
125,5.2651,44.8054
126,10.2465,87.6933
127,61.6766,16.9456
128,87.9039,65.7776
129,70.1500,28.8991
130,7.7263,18.1557
131,92.7675,48.0758
132,58.7283,52.7319
133,20.3955,21.9045
134,23.3053,63.4777
135,32.4653,49.9831
136,52.8686,10.5632
137,32.5333,38.6281
138,88.1545,26.8716
139,47.0692,59.7190
140,67.7518,51.6263
141,90.1406,73.0806
142,62.9441,55.0860
143,83.8694,41.7956
144,81.6949,87.9487
145,95.8560,99.0611
146,63.3773,31.3577
147,88.3910,89.9490
148,30.0954,94.8672
149,3.5950,6.8841
150,30.4876,13.2684
151,24.8255,54.9816
152,37.0841,85.6736
153,83.7551,47.7926
154,5.5607,4.8384
155,46.0672,90.1194
156,80.3620,42.8134
157,49.5504,78.2979
158,19.4181,89.4249
159,76.0985,97.1155
160,50.6128,26.0965
161,86.0012,32.5859
162,37.6292,27.5491
163,14.1325,74.7681
164,27.7099,10.1474
165,19.9258,71.1824
166,28.3628,68.0135
167,21.8325,94.3692
168,15.8607,5.3674
169,86.1305,55.4622
170,13.0345,11.0484
171,80.1170,79.9194
172,11.9822,61.9828
173,91.3519,3.4120
174,82.9281,54.3734
175,8.4703,1.2617
176,71.2663,33.4961
177,3.4933,21.3574
178,73.3597,50.7547
179,40.5041,51.4154
180,3.2056,61.2343
181,37.3275,19.4804
182,93.1202,75.2065
183,1.7312,72.7725
184,80.7584,39.6634
185,59.3889,5.4882
186,86.7284,10.5912
187,11.9997,7.7883
188,79.0762,92.9406
189,82.3677,85.9888
190,74.1008,72.8433
191,69.8294,64.4088
192,14.6929,89.7039
193,57.3375,90.2959
194,58.1523,9.1090
195,49.1273,15.4223
196,80.3675,41.5700
197,94.4574,29.5240
198,51.1686,76.8007
199,73.5238,80.6227
200,2.7066,63.9570
201,12.9859,1.3764
202,95.7944,21.3926
203,29.8338,0.2834
204,58.9327,22.2793
205,66.7550,85.2943
206,32.1143,43.9085
207,3.8785,17.9597
208,85.4400,46.9625
209,58.6367,29.0354
210,94.5759,39.3096
211,49.7891,23.9448
212,74.3956,4.0888
213,73.3348,88.2575
214,96.4336,67.3313
215,77.4425,99.0461
216,8.8711,66.7261
217,47.5377,70.0613
218,83.3848,35.0594
219,13.0319,85.5090
220,77.3374,19.2765
221,50.7570,11.3144
222,51.8611,39.4574
223,48.9772,18.5792
224,48.3666,48.9896
225,31.6556,75.3846
226,37.8543,2.6575
227,29.8410,90.0711
228,33.0173,41.2588
229,89.9280,19.8377
230,20.2448,79.5581
231,31.5837,73.6811
232,79.2514,57.2432
233,21.1395,87.8276
234,5.3387,32.3169
235,5.2805,29.7526
236,88.0528,45.5366
237,76.7788,31.0053
238,29.6168,70.5456
239,80.7981,25.7413
240,81.4186,76.6817
241,48.0379,10.2038
242,62.0911,71.4740
243,80.9677,84.9388
244,71.7807,24.4551
245,59.2568,63.7182
246,21.6340,87.3497
247,68.1406,23.3934
248,77.2455,84.3817
249,48.4989,15.8548
250,38.6030,57.6795
251,39.3864,73.9676
252,3.7938,74.9770
253,73.9126,65.8060
254,81.6501,73.1410
255,25.9978,98.4752
256,11.7365,37.6499
257,41.5760,28.5973
258,81.6808,4.1309
259,42.4700,89.2856
260,79.7239,52.3814
261,45.8298,15.0301
262,66.4074,12.5743
263,47.0438,27.5740
264,0.3980,37.9982
265,42.9017,66.2141
266,60.7929,86.8488
267,3.8336,14.8252
268,15.4275,31.6973
269,26.0571,52.3224
270,33.7975,5.4517
271,25.0305,99.2697
272,66.2244,71.4447
273,68.5317,35.5813
274,38.2648,52.5887
275,49.5502,24.8987
276,49.0265,18.7727
277,86.3189,46.9538
278,87.0289,56.7909
279,21.3062,97.5258
280,77.0535,89.5108
281,48.7959,48.9419
282,32.5310,95.2872
283,52.2258,22.7734
284,36.3110,32.2493
285,93.1258,66.0190
286,45.9111,61.6469
287,10.6776,65.4783
288,24.0803,73.0005
289,84.4401,0.6026
290,14.1335,35.2872
291,32.7405,4.5675
292,43.6576,85.8015
293,72.3611,76.5366
294,73.6827,21.3375
295,21.1082,38.6882
296,13.3474,87.0958
297,31.0948,48.8573
298,26.1121,13.3962
299,51.0939,76.7813
300,81.3564,0.0996
301,3.7869,7.3677
302,24.8658,7.4115
303,42.5222,29.8687
304,36.8424,80.4740
305,28.0570,93.0994
306,73.5248,47.5980
307,39.9838,29.6111
308,88.7648,28.1095
309,48.1424,65.9069
310,20.1258,33.6406
311,35.0838,64.0376
312,81.5884,35.1716
313,66.6348,44.7103
314,48.8448,58.7428
315,12.0726,28.5469
316,23.5127,59.5380
317,85.2282,36.7665
318,4.8786,40.0225
319,15.9117,74.3093
320,55.3443,84.8999
321,27.0933,65.9028
322,22.2728,61.1066
323,34.1272,24.8683
324,42.5277,29.1459
325,21.4842,86.1709
326,59.9690,59.4848
327,98.1693,34.8195
328,68.8018,29.4911
329,64.5262,56.3872
330,67.3109,90.4938
331,30.7383,2.9509
332,45.6373,30.8666
333,2.6110,76.5995
334,44.0545,75.1311
335,52.1455,92.1737
336,96.5082,46.1336
337,60.4675,39.0971
338,53.9261,19.6753
339,48.0677,27.4991
340,60.9512,61.3683
341,60.9020,55.6990
342,48.2588,32.0961
343,63.1527,2.7927
344,36.4598,55.6617
345,45.4814,79.1692
346,2.8757,80.6270
347,59.4552,45.2954
348,84.8351,67.3286
349,91.9060,88.8054
350,50.2244,44.4307
351,21.9403,57.3045
352,51.2671,75.6797
353,26.9197,22.3308
354,66.3429,46.7214
355,67.2430,29.5226
356,52.9672,63.5700
357,3.3640,82.8920
358,57.7550,57.4214
359,96.1257,65.2839
360,31.6810,12.9923
361,33.8598,86.0442
362,85.3785,71.3692
363,72.5454,32.9016
364,92.4338,95.6801
365,92.3038,66.8766
366,99.2914,63.1836
367,58.2135,96.0373
368,18.8959,63.1397
369,87.4416,58.6010
370,5.0099,50.4915
371,36.9937,82.0748
372,82.7941,90.5447
373,64.2016,5.0318
374,62.7436,83.5601
375,19.7870,92.6699
376,8.3205,54.1611
377,97.6782,99.6724
378,34.1954,29.3361
379,96.2989,11.4115
380,39.9497,62.1856
381,4.8221,90.3754
382,21.4744,94.4513
383,37.7438,48.7625
384,57.5092,20.0471
385,61.9128,13.4226
386,98.4999,85.6377
387,86.1802,75.4776
388,59.1801,54.4377
389,99.5865,85.4269
390,29.3704,63.5373
391,8.7856,5.6459
392,16.0672,2.3434
393,88.5059,63.0188
394,3.0687,27.8406
395,83.9913,82.1105
396,56.7174,40.6831
397,30.2800,44.3896
398,59.4959,1.7045
399,75.3571,96.4249
