u,v,w
118,325,20.2938
62,232,23.2683
232,62,23.2683
377,369,42.3279
369,377,42.3279
362,358,30.9451
358,362,30.9451
285,214,3.5586
214,285,3.5586
156,140,15.3845
140,156,15.3845
265,134,19.7865
134,265,19.7865
365,236,21.7593
236,365,21.7593
69,353,30.0159
353,69,30.0159
124,382,42.9001
382,124,42.9001
259,1,20.2715
1,259,20.2715
218,244,15.7197
244,218,15.7197
316,376,16.1157
376,316,16.1157
62,196,10.5248
196,62,10.5248
371,25,22.1759
25,371,22.1759
147,210,51.0157
210,147,51.0157
356,286,7.3135
286,356,7.3135
45,372,9.6260
372,45,9.6260
190,169,21.1380
169,190,21.1380
347,60,27.3067
60,347,27.3067
316,318,26.9831
318,316,26.9831
359,46,19.2620
46,359,19.2620
396,284,22.0805
284,396,22.0805
40,157,46.2693
157,40,46.2693
100,126,4.9803
126,100,4.9803
49,19,34.7440
19,49,34.7440
340,339,36.2368
339,340,36.2368
311,120,18.0811
120,311,18.0811
0,242,20.0060
242,0,20.0060
341,384,35.8130
384,341,35.8130
58,152,60.4901
152,58,60.4901
134,297,16.5660
297,134,16.5660
240,233,61.3009
233,240,61.3009
25,206,20.3100
206,25,20.3100
24,8,8.0440
8,24,8.0440
132,273,19.7547
273,132,19.7547
124,3,39.4258
3,124,39.4258
224,324,20.6848
324,224,20.6848
248,271,54.2961
271,248,54.2961
389,367,42.7119
367,389,42.7119
286,323,38.6203
323,286,38.6203
324,276,12.2408
276,324,12.2408
232,220,38.0149
220,232,38.0149
353,181,10.7911
181,353,10.7911
306,146,19.1499
146,306,19.1499
244,229,18.7255
229,244,18.7255
64,317,9.5345
317,64,9.5345
43,397,10.3325
397,43,10.3325
23,354,25.7375
354,23,25.7375
153,105,25.5712
105,153,25.5712
45,47,57.5793
47,45,57.5793
236,239,21.0829
239,236,21.0829
312,355,15.4175
355,312,15.4175
184,109,18.9422
109,184,18.9422
320,167,34.8239
167,320,34.8239
313,303,28.3140
303,313,28.3140
135,180,31.3484
180,135,31.3484
312,328,13.9915
328,312,13.9915
310,133,11.7392
133,310,11.7392
265,151,21.2819
151,265,21.2819
192,113,16.8942
113,192,16.8942
272,161,43.6019
161,272,43.6019
124,342,47.6416
342,124,47.6416
312,247,17.8765
247,312,17.8765
220,65,16.3716
65,220,16.3716
374,116,53.6488
116,374,53.6488
368,252,19.1884
252,368,19.1884
350,54,28.3112
54,350,28.3112
163,10,18.8563
10,163,18.8563
316,114,31.1075
114,316,31.1075
277,138,20.1659
138,277,20.1659
382,21,12.8494
21,382,12.8494
27,299,26.6614
299,27,26.6614
126,256,50.0656
256,126,50.0656
30,85,33.6082
85,30,33.6082
7,346,48.4184
346,7,48.4184
380,92,29.4509
92,380,29.4509
372,14,59.5894
14,372,59.5894
368,172,7.0098
172,368,7.0098
5,11,21.0387
11,5,21.0387
274,245,23.7599
245,274,23.7599
83,162,17.4158
162,83,17.4158
9,336,27.7361
336,9,27.7361
104,223,56.7723
223,104,56.7723
26,338,33.2755
338,26,33.2755
104,50,46.3989
50,104,46.3989
361,378,56.7090
378,361,56.7090
6,82,28.1222
82,6,28.1222
14,176,16.2919
176,14,16.2919
40,262,76.7512
262,40,76.7512
7,283,56.6544
283,7,56.6544
224,228,17.1862
228,224,17.1862
64,308,15.3135
308,64,15.3135
15,257,14.4426
257,15,14.4426
215,160,77.7270
160,215,77.7270
5,315,56.3507
315,5,56.3507
351,183,25.4492
183,351,25.4492
332,195,15.8338
195,332,15.8338
68,237,38.2084
237,68,38.2084
104,127,50.1395
127,104,50.1395
372,275,73.5837
275,372,73.5837
358,22,41.8584
22,358,41.8584
198,287,42.0443
287,198,42.0443
218,35,18.7452
35,218,18.7452
46,97,27.3964
97,46,27.3964
174,115,23.1213
115,174,23.1213
180,95,21.2711
95,180,21.2711
363,72,11.8703
72,363,11.8703
363,202,25.9418
202,363,25.9418
369,71,50.9441
71,369,50.9441
47,136,19.1043
136,47,19.1043
111,295,44.8957
295,111,44.8957
205,305,39.4773
305,205,39.4773
231,80,18.9413
80,231,18.9413
215,96,68.3504
96,215,68.3504
137,263,18.2414
263,137,18.2414
34,117,32.5838
117,34,32.5838
308,204,30.3965
204,308,30.3965
96,264,57.6057
264,96,57.6057
279,73,73.7733
73,279,73.7733
275,221,13.6377
221,275,13.6377
78,261,35.1193
261,78,35.1193
240,249,69.1638
249,240,69.1638
306,194,41.4454
194,306,41.4454
371,18,27.1010
18,371,27.1010
99,385,32.4646
385,99,32.4646
309,211,41.9944
211,309,41.9944
278,373,56.5694
373,278,56.5694
260,386,38.1906
386,260,38.1906
140,327,34.7519
327,140,34.7519
368,168,57.8519
168,368,57.8519
8,107,29.4379
107,8,29.4379
397,81,24.6084
81,397,24.6084
115,258,73.3302
258,115,73.3302
120,370,24.5157
370,120,24.5157
322,394,38.4113
394,322,38.4113
327,212,38.8531
212,327,38.8531
334,298,64.2894
298,334,64.2894
12,77,78.2094
77,12,78.2094
93,235,43.1614
235,93,43.1614
98,33,28.9240
33,98,28.9240
45,289,80.3371
289,45,80.3371
114,267,72.6268
267,114,72.6268
143,173,39.1061
173,143,39.1061
107,84,78.4154
84,107,78.4154
314,42,50.4212
42,314,50.4212
347,241,36.9022
241,347,36.9022
128,75,67.7571
75,128,67.7571
14,90,35.3062
90,14,35.3062
18,381,10.9714
381,18,10.9714
19,56,29.0496
56,19,29.0496
40,357,92.1545
357,40,92.1545
19,343,37.6414
343,19,37.6414
6,300,67.6424
300,6,67.6424
125,61,9.6693
61,125,9.6693
157,28,55.2357
28,157,55.2357
50,185,19.7132
185,50,19.7132
363,379,32.0321
379,363,32.0321
15,74,31.8778
74,15,31.8778
350,123,41.4857
123,350,41.4857
163,130,56.9737
130,163,56.9737
354,186,41.4845
186,354,41.4845
44,20,55.6500
20,44,55.6500
310,170,23.6790
170,310,23.6790
192,290,54.4196
290,192,54.4196
262,226,30.2262
226,262,30.2262
163,57,47.1344
57,163,47.1344
194,270,24.6278
270,194,24.6278
42,360,11.2171
360,42,11.2171
255,177,80.3344
177,255,80.3344
148,207,81.2532
207,148,81.2532
256,187,29.8628
187,256,29.8628
290,301,29.7751
301,290,29.7751
80,150,75.5710
150,80,75.5710
17,291,90.1248
291,17,90.1248
102,55,37.6211
55,102,37.6211
81,391,21.2284
391,81,21.2284
245,398,62.0141
398,245,62.0141
390,164,53.4157
164,390,53.4157
126,149,81.0825
149,126,81.0825
375,302,85.4095
302,375,85.4095
134,108,59.1892
108,134,59.1892
180,51,54.7955
51,180,54.7955
228,331,38.3756
331,228,38.3756
254,203,89.4045
203,254,89.4045
252,154,70.1608
154,252,70.1608
132,392,66.0225
392,132,66.0225
224,201,59.3195
201,224,59.3195
142,13,74.6328
13,142,74.6328
20,175,82.3246
175,20,82.3246
55,373,46.9436
373,55,55.3132
11,132,66.3569
132,11,77.4706
165,399,63.8031
399,165,70.8023
99,332,28.2262
332,99,26.9988
95,375,15.0456
375,95,19.3693
89,368,65.1974
368,89,54.4181
106,286,70.2086
286,106,64.3491
233,161,101.1566
161,233,78.6353
38,287,47.0622
287,38,45.0859
399,294,76.8398
294,399,71.6889
60,184,28.4817
184,60,27.4929
67,261,38.3993
261,67,35.3357
170,262,53.3612
262,170,56.9464
288,386,68.2678
386,288,75.4124
362,86,41.9056
86,362,40.1852
355,74,44.2541
74,355,40.3211
133,129,55.3912
129,133,50.4435
79,263,72.7230
263,79,61.4369
34,33,66.7724
33,34,68.2037
9,119,65.7363
119,9,80.3260
324,123,27.7047
123,324,23.0349
55,60,47.6548
60,55,44.7328
202,149,105.9410
149,202,109.4206
232,128,11.2662
128,232,12.8336
379,357,134.8916
357,379,140.3592
69,58,100.8156
58,69,113.0134
193,230,39.9133
230,193,36.5359
117,205,69.0622
205,117,88.1460
391,311,72.4076
311,391,58.3895
57,295,17.5875
295,57,19.3707
2,88,19.5986
88,2,21.9473
338,39,88.8117
39,338,80.1887
34,3,8.2810
3,34,8.7613
135,34,5.7152
34,135,5.0999
12,248,21.8029
248,12,21.3394
54,66,73.7031
66,54,67.1417
150,259,81.7132
259,150,79.5112
230,58,75.7403
58,230,83.3946
223,67,26.2483
67,223,32.4873
130,341,67.2059
341,130,58.8703
198,180,60.1494
180,198,53.6413
163,247,73.8490
247,163,82.3504
369,193,41.9364
193,369,48.7294
115,33,85.4504
33,115,83.7013
143,297,62.5673
297,143,59.4994
388,70,30.8393
70,388,28.0216
132,283,35.7970
283,132,27.8657
181,100,75.2277
100,181,78.6098
246,116,13.5186
116,246,12.4629
14,16,22.1283
16,14,25.4755
210,108,71.5873
108,210,81.8565
230,274,37.3689
274,230,32.7364
359,84,99.4855
84,359,91.9573
25,287,13.7796
287,25,15.2495
82,117,57.2576
117,82,65.8052
168,122,75.6387
122,168,75.5059
121,177,84.9486
177,121,91.4187
328,128,37.4045
128,328,40.1318
317,45,45.8094
45,317,43.1441
111,110,46.9438
110,111,42.0904
38,288,29.5981
288,38,34.4120
358,93,31.9102
93,358,28.6278
197,32,10.7158
32,197,11.6686
363,59,27.9997
59,363,28.3321
259,336,66.4101
336,259,76.3236
312,7,62.4138
7,312,62.3268
267,360,33.3439
360,267,27.1971
48,135,31.2160
135,48,34.3163
306,140,6.7189
140,306,8.4099
210,247,32.7203
247,210,29.8399
268,323,18.0045
323,268,20.6622
288,304,13.6669
304,288,13.8097
381,379,126.8100
379,381,125.3157
154,211,44.3185
211,154,51.2089
381,192,9.8515
192,381,9.5279
360,375,79.1060
375,360,92.8883
272,214,31.0582
214,272,30.9405
314,171,38.3970
171,314,41.7854
339,243,76.3354
243,339,73.6242
314,59,27.6653
59,314,20.9197
370,170,39.1035
170,370,44.3978
339,380,37.5702
380,339,34.1641
370,48,61.5896
48,370,51.9182
125,101,7.8474
101,125,6.7958
101,12,61.6147
12,101,64.2066
374,195,64.8272
195,374,82.7403
33,99,42.5869
99,33,44.7652
375,237,95.6118
237,375,80.4800
179,69,41.6452
69,179,36.3336
259,107,44.6519
107,259,37.0803
88,52,35.6552
52,88,38.8252
194,163,89.6125
163,194,79.4636
96,299,42.8603
299,96,50.1857
118,193,48.3046
193,118,52.4657
224,74,45.5118
74,224,37.8539
97,148,101.3189
148,97,95.9372
151,133,35.1335
133,151,37.1152
11,230,22.4606
230,11,23.2473
93,88,24.3566
88,93,19.4180
312,353,60.5309
353,312,66.3349
50,8,92.2075
8,50,92.5832
300,288,88.5609
288,300,91.7672
279,381,19.6690
381,279,18.7156
5,22,71.5189
22,5,89.4156
146,15,19.5395
15,146,19.5961
189,353,93.8224
353,189,92.6689
305,199,54.8793
199,305,53.0350
369,141,14.1018
141,369,14.8183
123,271,87.5087
271,123,100.6097
239,152,85.0653
152,239,67.1409
376,235,27.5486
235,376,25.2737
54,373,14.1553
373,54,14.6218
68,17,37.1844
17,68,34.0358
88,376,49.7213
376,88,52.2644
273,57,55.4524
57,273,66.0155
192,381,10.5620
381,192,9.7449
150,296,87.2721
296,150,77.1182
23,289,70.6783
289,23,73.6044
264,306,72.6125
306,264,80.6574
104,373,67.0741
373,104,67.1270
158,218,94.6026
218,158,87.1745
172,72,80.8895
72,172,70.4232
328,239,13.4431
239,328,14.3847
11,278,108.9247
278,11,93.7339
264,362,108.1497
362,264,100.1214
137,238,32.4314
238,137,32.9725
264,54,69.2660
54,264,67.6026
15,374,42.8650
374,15,43.5132
301,133,20.5985
133,301,20.5995
387,195,73.6348
195,387,71.0014
270,202,63.5400
202,270,69.2467
304,298,67.4853
298,304,69.1399
168,5,79.1188
5,168,71.9390
230,101,50.0282
101,230,43.7591
280,355,61.5597
355,280,64.0688
310,357,56.4643
357,310,61.5211
221,242,69.1581
242,221,64.9565
388,141,33.7827
141,388,33.9362
171,123,87.6461
123,171,98.5951
237,69,71.5370
69,237,75.5438
233,58,87.2203
58,233,88.1155
10,34,52.4361
34,10,49.0015
202,256,81.4661
256,202,85.7343
36,363,28.0630
363,36,26.9964
267,287,58.6703
287,267,55.7987
195,126,73.9606
126,195,89.8225
213,57,98.2712
57,213,104.3485
64,106,25.8261
106,64,25.5291
164,354,60.8888
354,164,55.6584
259,118,33.7419
118,259,40.1434
230,338,78.6253
338,230,69.1901
324,178,44.4807
178,324,35.9855
139,210,56.2264
210,139,50.0465
215,294,79.3164
294,215,82.2736
11,160,76.6514
160,11,77.7494
47,296,76.8405
296,47,67.6116
152,233,14.9895
233,152,16.9985
306,248,43.3064
248,306,40.5798
190,120,56.8378
120,190,51.1682
219,288,19.0912
288,219,19.0123
86,225,27.8959
225,86,30.8838
364,284,81.7902
284,364,83.0000
14,309,28.7351
309,14,33.1633
242,17,26.9893
17,242,26.9765
68,28,47.8085
28,68,48.6207
312,310,71.6156
310,312,64.4241
237,203,59.5426
203,237,51.8890
151,25,9.0313
25,151,8.9238
115,310,75.3805
310,115,71.4971
233,288,14.2556
288,233,16.0926
229,97,9.0025
97,229,8.7210
110,55,104.1378
55,110,116.0567
122,322,30.8756
322,122,26.8792
143,175,91.3540
175,143,99.6706
211,221,14.8702
221,211,13.9173
93,116,27.9289
116,93,32.0324
3,153,41.1515
153,3,48.1833
269,341,40.2778
341,269,41.0141
16,205,57.9268
205,16,57.2289
260,2,47.8557
2,260,36.9945
186,215,98.4507
215,186,103.1753
294,351,70.6320
351,294,66.6347
386,275,74.4744
275,386,92.3705
91,124,48.5259
124,91,47.9735
91,195,25.1259
195,91,26.9771
348,134,59.1805
134,348,57.3503
371,161,70.5631
161,371,82.8983
125,160,50.0384
160,125,57.6569
216,349,93.0690
349,216,100.1570
386,247,75.5223
247,386,81.0593
117,266,69.2328
266,117,69.6854
203,129,49.4366
129,203,58.7627
372,324,87.8994
324,372,73.5050
380,240,47.1851
240,380,43.1881
171,18,73.2290
18,171,83.5854
178,8,63.5276
8,178,73.0975
171,42,89.2911
42,171,79.5297
234,393,97.2670
393,234,80.3073
265,107,57.1036
107,265,49.8461
48,150,59.0153
150,48,55.9392
38,157,26.6259
157,38,25.7998
78,234,53.8737
234,78,53.4827
146,192,68.6202
192,146,89.5190
185,100,102.8081
100,185,110.6895
93,97,70.2874
97,93,65.2275
167,65,81.2230
65,167,90.0026
274,318,34.6339
318,274,32.4105
192,238,23.3215
238,192,24.9044
394,191,76.3173
191,394,73.1803
114,186,107.7399
186,114,124.3629
399,388,50.6975
388,399,47.9932
251,245,22.3886
245,251,25.1504
170,263,37.9482
263,170,42.5475
111,57,60.1264
57,111,60.5659
152,390,21.4325
390,152,27.6824
183,272,67.1048
272,183,72.1026
31,357,96.9519
357,31,109.1867
140,222,19.7134
222,140,18.9391
276,13,45.6389
13,276,43.9635
118,398,90.8031
398,118,91.0395
115,257,66.3378
257,115,65.2728
10,240,95.7048
240,10,93.7732
95,308,102.9334
308,95,94.0718
236,306,16.5944
306,236,15.0420
143,146,22.7516
146,143,27.3325
378,250,31.1387
250,378,33.6523
106,41,23.7258
41,106,26.6060
319,299,36.3457
299,319,35.7162
232,367,44.8089
367,232,40.0708
104,295,65.0662
295,104,73.3996
235,115,102.0268
115,235,92.1366
303,109,27.7414
109,303,32.6960
4,142,32.6308
142,4,31.9890
275,360,21.0376
360,275,20.4874
127,52,87.1597
52,127,83.2625
94,368,16.1241
368,94,17.4977
265,93,13.3947
93,265,14.8581
231,200,32.1359
200,231,31.0855
108,311,61.0910
311,108,65.9435
238,316,13.3904
316,238,13.0457
338,10,80.3811
10,338,95.0380
58,164,110.3524
164,58,91.0158
187,341,66.5653
341,187,72.4764
9,114,104.9174
114,9,99.9932
67,331,47.4024
331,67,48.2228
370,76,62.5206
76,370,70.7646
316,177,49.1085
177,316,48.9376
226,150,11.9737
150,226,12.3353
368,191,58.3972
191,368,52.5429
250,219,36.1607
219,250,38.3679
265,152,19.9099
152,265,22.8069
300,134,83.5892
134,300,85.4993
198,221,66.7959
221,198,75.8081
93,72,58.4267
72,93,68.4066
55,3,43.4166
3,55,48.3644
337,144,62.9372
144,337,55.2116
237,76,15.8679
76,237,18.1990
79,208,57.7471
208,79,60.2358
303,369,60.9959
369,303,54.4199
0,325,26.5676
325,0,30.0220
113,248,72.2797
248,113,80.8969
300,76,30.5679
76,300,31.5436
119,243,54.0074
243,119,53.5867
176,354,16.6153
354,176,13.5488
78,206,16.9497
206,78,16.7661
247,342,25.7404
342,247,25.3247
110,304,51.3278
304,110,59.8913
343,13,52.4195
13,343,56.5515
194,281,39.5231
281,194,38.4450
109,157,69.2812
157,109,60.0777
360,225,71.0798
225,360,70.7726
69,240,85.6347
240,69,81.6796
25,63,22.8558
63,25,29.0059
377,277,57.4316
277,377,57.8183
281,216,46.5649
216,281,48.7057
282,318,56.3179
318,282,55.8457
101,148,63.3051
148,101,60.4757
55,376,47.3305
376,55,47.2929
320,188,28.6729
188,320,25.9993
371,231,9.7283
231,371,11.8784
379,180,113.6243
180,379,98.7669
223,0,71.9958
0,223,60.6867
322,240,67.0330
240,322,65.5096
341,220,37.3754
220,341,40.5157
208,93,60.6505
93,208,56.4647
222,327,48.8950
327,222,51.5207
149,80,83.0257
80,149,87.5274
79,53,20.4850
53,79,19.3896
235,207,13.0109
207,235,14.2190
270,150,8.4879
150,270,7.8710
279,225,26.0394
225,279,22.8923
389,260,39.6119
260,389,35.7612
245,332,33.2299
332,245,34.6344
211,123,26.7839
123,211,32.0358
35,118,75.2523
118,35,80.7073
312,238,71.5703
238,312,72.2071
43,117,34.2984
117,43,32.8926
195,282,77.5382
282,195,77.1431
249,120,62.7312
120,249,70.8962
300,167,128.5007
167,300,124.5652
32,352,55.8389
352,32,56.1803
33,353,51.8104
353,33,59.2871
216,37,63.8988
37,216,74.6217
318,350,50.8175
350,318,49.0144
385,247,12.0018
247,385,12.0661
370,159,87.8733
159,370,85.8368
312,254,38.7963
254,312,41.8531
94,63,44.2497
63,94,40.4554
217,392,68.4214
392,217,80.6272
345,239,68.8113
239,345,75.3168
175,67,71.8580
67,175,58.9315
223,365,63.9892
365,223,77.4680
382,237,83.8050
237,382,91.5521
385,18,90.4818
18,385,96.1953
90,342,33.4791
342,90,41.5096
38,333,55.7960
333,38,58.8332
107,225,38.6653
225,107,42.6443
6,150,79.7216
150,6,75.3442
289,75,27.3173
75,289,23.9032
81,184,68.9640
184,81,79.7858
50,138,18.7754
138,50,15.8976
181,53,63.4701
53,181,66.4880
98,385,19.7171
385,98,18.1271
178,31,16.5911
31,178,15.1002
0,124,17.4363
124,0,17.5636
5,280,66.2667
280,5,51.9315
362,326,32.8641
326,362,31.5524
389,271,85.8662
271,389,68.5417
12,292,15.2354
292,12,14.4315
270,331,4.3792
331,270,4.6854
35,259,84.1836
259,35,86.3068
36,145,62.6729
145,36,70.7103
313,310,49.9458
310,313,48.5925
118,339,45.4796
339,118,55.7372
365,109,50.5610
109,365,47.4966
206,116,49.7189
116,206,54.4363
18,358,52.3960
358,18,50.9115
348,196,28.1410
196,348,29.7390
241,192,91.0775
192,241,86.6399
10,330,70.4357
330,10,71.9350
104,295,70.8862
295,104,76.4968
159,290,91.9456
290,159,90.6435
209,248,60.7837
248,209,55.2029
264,163,41.0060
163,264,40.7284
304,157,12.2458
157,304,12.6252
350,111,30.4622
111,350,29.6780
151,327,89.6915
327,151,73.9422
357,120,19.0555
120,357,19.5129
91,334,40.8361
334,91,52.3665
48,139,15.9828
139,48,13.7640
327,226,76.5375
226,327,70.6233
72,309,45.5792
309,72,43.3474
321,35,88.1587
35,321,83.0002
5,305,10.7704
305,5,10.3515
171,231,51.0831
231,171,47.7608
398,207,66.2688
207,398,62.5923
292,179,38.5389
179,292,40.7630
11,29,103.2192
29,11,105.3170
247,287,77.0702
287,247,68.9647
174,235,93.8400
235,174,90.9586
193,323,69.1667
323,193,73.0736
316,145,92.7257
145,316,95.0053
316,167,41.7270
167,316,37.3715
273,175,77.3721
175,273,65.2383
322,95,23.9687
95,322,30.6208
281,40,59.0460
40,281,55.8476
275,102,46.8552
102,275,37.2207
329,341,3.7602
341,329,4.2818
223,95,78.7659
95,223,70.2955
280,309,39.3489
309,280,36.0098
85,121,52.6626
121,85,56.7432
75,356,67.5129
356,75,61.4007
349,161,64.7952
161,349,62.8685
246,274,41.4576
274,246,38.7244
363,32,30.9618
32,363,25.4816
392,339,47.4859
339,392,42.3881
284,245,46.4710
245,284,35.2480
355,59,36.6470
59,355,35.0716
