u,v,w
192,64,20.3994
76,40,58.9568
40,76,58.9568
63,42,22.8429
42,63,22.8429
41,55,20.8805
55,41,20.8805
178,129,25.0934
129,178,25.0934
44,113,19.9360
113,44,19.9360
67,133,32.2166
133,67,32.2166
179,101,56.5674
101,179,56.5674
173,105,34.3500
105,173,34.3500
29,191,19.6655
191,29,19.6655
142,83,49.8048
83,142,49.8048
42,167,19.1958
167,42,19.1958
179,187,60.0635
187,179,60.0635
136,158,18.9785
158,136,18.9785
159,19,52.5893
19,159,52.5893
188,93,37.4423
93,188,37.4423
165,27,13.4028
27,165,13.4028
142,38,57.4594
38,142,57.4594
12,176,45.1014
176,12,45.1014
15,151,21.5903
151,15,21.5903
52,17,7.9693
17,52,7.9693
75,177,46.2343
177,75,46.2343
15,66,26.7101
66,15,26.7101
80,199,11.1338
199,80,11.1338
140,25,19.3753
25,140,19.3753
60,155,52.5073
155,60,52.5073
65,130,69.7455
130,65,69.7455
128,62,13.9248
62,128,13.9248
127,117,31.8925
117,127,31.8925
126,73,62.0418
73,126,62.0418
8,21,16.1482
21,8,16.1482
132,92,22.9347
92,132,22.9347
39,87,45.8438
87,39,45.8438
126,104,72.2219
104,126,72.2219
53,23,42.1839
23,53,42.1839
84,190,43.3056
190,84,43.3056
32,91,24.2805
91,32,24.2805
64,185,5.3007
185,64,5.3007
13,95,9.8758
95,13,9.8758
136,77,39.6415
77,136,39.6415
33,162,64.7580
162,33,64.7580
191,153,26.1572
153,191,26.1572
9,119,46.0623
119,9,46.0623
10,147,16.2952
147,10,16.2952
101,160,14.5096
160,101,14.5096
189,166,62.9235
166,189,62.9235
17,195,45.2710
195,17,45.2710
23,72,57.2712
72,23,57.2712
157,183,50.1212
183,157,50.1212
0,184,92.1483
184,0,92.1483
38,111,8.7934
111,38,8.7934
6,50,26.3144
50,6,26.3144
113,196,6.0185
196,113,6.0185
180,169,21.5696
169,180,21.5696
184,123,17.7576
123,184,17.7576
75,150,66.0609
150,75,66.0609
34,139,54.7430
139,34,54.7430
73,74,67.0790
74,73,67.0790
63,70,55.0867
70,63,55.0867
157,99,7.1897
99,157,7.1897
148,161,75.8269
161,148,75.8269
13,144,40.9797
144,13,40.9797
42,114,36.8191
114,42,36.8191
192,20,54.5486
20,192,54.5486
110,156,104.5743
156,110,104.5743
40,36,32.6085
36,40,32.6085
13,68,55.1774
68,13,55.1774
0,197,104.6039
197,0,104.6039
80,79,109.9365
79,80,109.9365
53,7,70.1317
7,53,70.1317
84,45,86.2709
45,84,86.2709
180,122,71.7001
122,180,71.7001
46,88,66.9167
88,46,66.9167
65,78,111.7951
78,65,111.7951
49,138,58.1020
138,49,58.1020
120,51,75.4341
51,120,75.4341
16,22,85.1001
22,16,85.1001
43,193,92.8964
193,43,92.8964
197,85,24.1121
85,197,24.1121
52,109,33.9755
109,52,38.5760
190,144,65.4106
144,190,71.5375
0,44,64.7930
44,0,71.1737
28,197,49.0000
197,28,37.7439
80,137,80.2913
137,80,78.1420
168,79,74.5796
79,168,93.8150
22,98,64.7219
98,22,70.6099
184,75,64.8688
75,184,55.5038
16,156,64.1837
156,16,80.9640
6,0,81.0785
0,6,84.7326
89,142,54.2087
142,89,53.4564
111,98,25.4846
98,111,32.4498
190,40,50.9482
40,190,53.7462
160,199,86.0587
199,160,87.2031
147,193,39.5932
193,147,39.5987
134,199,61.5802
199,134,77.2853
196,132,40.6654
132,196,49.5217
120,172,75.9292
172,120,77.3811
126,55,64.6896
55,126,62.2094
193,196,61.4611
196,193,61.8858
130,190,66.8223
190,130,67.9835
1,191,50.6328
191,1,46.9892
12,199,76.0064
199,12,82.6068
51,167,60.9733
167,51,61.4972
50,95,53.8245
95,50,47.9047
18,88,108.0449
88,18,106.6495
12,87,115.8303
87,12,117.3692
45,31,87.1319
31,45,95.9054
133,178,44.1992
178,133,53.2809
198,9,26.4265
9,198,24.5895
99,48,89.4822
48,99,87.1856
32,75,44.5083
75,32,43.9047
0,141,31.4191
141,0,28.6645
77,111,73.2027
111,77,83.1545
143,110,74.3274
110,143,71.0230
19,107,97.0219
107,19,96.7820
182,55,43.1806
55,182,41.5441
77,17,36.2563
17,77,29.8784
196,13,84.5473
13,196,76.5866
29,91,51.7621
91,29,44.3739
164,55,54.7632
55,164,48.9923
158,139,116.6531
139,158,115.2331
38,2,41.5497
2,38,42.7084
178,116,30.7088
116,178,26.6674
166,16,54.6454
16,166,49.5172
171,138,62.7880
138,171,67.0723
98,50,60.5102
50,98,73.4081
98,71,63.3834
71,98,71.9499
102,62,28.1653
62,102,28.5945
152,128,59.2768
128,152,57.9621
100,81,55.9186
81,100,54.2201
73,171,76.2715
171,73,84.7024
135,4,41.8836
4,135,47.6197
141,84,55.2127
84,141,57.8290
81,157,73.1719
157,81,87.0809
27,180,95.9941
180,27,113.5000
90,143,23.3566
143,90,21.7338
10,119,43.4812
119,10,37.7513
72,29,58.8529
29,72,53.4942
98,90,21.2465
90,98,24.5696
131,137,41.7908
137,131,38.3435
82,131,32.9658
131,82,36.1538
46,151,69.4235
151,46,57.4822
15,137,31.5337
137,15,34.6512
5,92,63.8367
92,5,66.4819
71,197,84.0674
197,71,96.2966
1,37,57.6975
37,1,66.6319
174,25,46.4285
25,174,38.1782
47,170,11.5838
170,47,13.4843
79,62,21.9754
62,79,21.4791
43,79,85.3033
79,43,86.2992
100,178,38.1767
178,100,32.4631
44,35,32.0845
35,44,30.1461
83,195,40.3905
195,83,39.5700
187,1,73.8954
1,187,63.6491
14,84,52.3208
84,14,50.5428
88,181,61.5025
181,88,65.2974
26,27,103.6540
27,26,114.4301
129,49,81.9840
49,129,94.8673
127,26,35.0120
26,127,36.0307
167,191,33.5488
191,167,33.2405
137,104,70.2387
104,137,60.9301
68,86,55.9576
86,68,57.9271
73,20,81.8422
20,73,76.1063
163,96,88.1913
96,163,81.1816
107,2,10.4811
2,107,10.5279
193,142,104.5821
142,193,96.2482
98,8,12.4746
8,98,14.4738
198,157,39.7419
157,198,43.3548
133,89,31.7084
89,133,38.3165
77,113,74.2598
113,77,64.8671
57,36,64.4870
36,57,57.4290
157,153,63.3219
153,157,62.2368
72,10,41.6883
10,72,40.0446
94,58,62.8242
58,94,60.0888
58,99,66.2315
99,58,80.8862
149,152,78.6717
152,149,73.0976
71,86,40.1493
86,71,43.9625
87,110,69.2637
110,87,68.4193
44,124,22.8914
124,44,26.2341
160,194,26.2725
194,160,26.7976
60,109,50.9185
109,60,51.4055
140,113,42.9784
113,140,40.4522
109,70,54.2210
70,109,61.4393
69,16,8.7378
16,69,7.7235
6,165,47.0049
165,6,43.4645
130,116,62.5904
116,130,50.4041
63,181,24.4398
181,63,21.5065
54,172,60.1791
172,54,62.5290
125,18,90.6235
18,125,87.0956
189,98,63.2970
98,189,74.5784
128,135,37.1229
135,128,38.6472
97,69,13.4798
69,97,13.9136
53,49,24.8524
49,53,28.3116
115,177,52.6754
177,115,47.7593
76,166,72.4018
166,76,85.4062
99,148,59.8939
148,99,55.5365
98,23,105.7541
23,98,114.7745
174,71,49.3758
71,174,51.4342
100,111,54.9125
111,100,48.7915
141,136,63.6677
136,141,49.9607
100,180,33.5968
180,100,31.7209
88,1,81.1923
1,88,86.2065
56,38,82.6346
38,56,94.2482
25,172,38.6186
172,25,43.9103
35,116,23.4579
116,35,24.9784
38,50,78.3970
50,38,88.9665
127,33,13.5906
33,127,11.7793
140,15,12.1617
15,140,12.3250
75,67,80.7531
67,75,78.0378
145,149,54.6294
149,145,55.3319
193,12,87.5952
12,193,97.7311
32,96,25.2649
96,32,19.8637
55,71,63.6370
71,55,52.1416
45,124,57.2868
124,45,57.6418
20,195,12.6966
195,20,14.0103
81,184,113.1002
184,81,96.8289
36,169,86.4324
169,36,103.0260
138,81,135.2094
81,138,111.3735
91,192,117.2182
192,91,102.5121
154,109,33.8862
109,154,33.5530
82,80,32.6803
80,82,35.9350
50,116,72.7932
116,50,80.8249
172,16,61.1958
16,172,69.6273
78,168,89.5902
168,78,90.5976
9,46,86.4592
46,9,86.9842
64,66,35.8791
66,64,35.3133
180,70,50.6858
70,180,43.3464
180,99,111.1193
99,180,104.9105
181,178,7.2033
178,181,7.5943
22,52,90.4517
52,22,72.3144
177,44,16.4099
44,177,16.4330
65,87,84.2854
87,65,110.1228
160,191,63.0381
191,160,61.5951
196,14,51.6335
14,196,54.1050
8,90,31.8363
90,8,26.6231
149,179,78.7105
179,149,88.7930
77,56,80.2080
56,77,82.0626
147,177,27.2884
177,147,26.8042
91,160,129.1317
160,91,120.7166
101,43,32.4932
43,101,31.6772
154,172,93.9855
172,154,98.8901
67,87,126.1268
87,67,105.7972
24,16,43.6224
16,24,39.8000
146,59,25.8197
59,146,24.9186
78,63,69.1663
63,78,71.4481
95,101,9.4203
101,95,8.3723
102,153,46.8022
153,102,43.0306
127,11,8.6164
11,127,9.9982
133,50,40.3688
50,133,39.3773
149,131,57.2411
131,149,73.8453
122,133,60.0351
133,122,60.1613
53,187,29.7320
187,53,33.2561
55,182,53.2255
182,55,50.4985
66,35,76.6127
35,66,68.4126
65,160,74.3590
160,65,91.0979
149,138,49.0685
138,149,49.9823
18,131,34.9495
131,18,33.6995
178,132,40.1119
132,178,47.3580
163,126,16.0359
126,163,18.8791
29,11,24.5502
11,29,27.3419
64,189,69.3644
189,64,71.4125
168,193,88.2607
193,168,90.7774
17,90,78.1369
90,17,70.1874
31,127,59.9068
127,31,66.9145
48,114,82.7893
114,48,89.8326
25,102,38.9799
102,25,33.8351
172,129,26.9459
129,172,24.5504
66,113,45.3424
113,66,44.9000
163,103,50.3079
103,163,47.8521
19,5,99.0557
5,19,87.1178
23,1,99.6236
1,23,114.6148
120,178,53.2021
178,120,65.8021
33,82,40.5069
82,33,43.5329
144,122,26.6108
122,144,25.1490
8,145,82.9121
145,8,67.8941
179,49,59.4185
49,179,74.8446
194,6,10.5215
6,194,9.6459
144,6,19.3421
6,144,19.1782
24,66,55.8191
66,24,51.2576
47,185,129.9089
185,47,126.2891
150,31,105.9356
31,150,128.1779
159,46,44.9904
46,159,44.1647
81,88,118.2021
88,81,131.5292
162,149,20.2621
149,162,21.3224
78,135,87.1736
135,78,86.5278
121,39,15.8507
39,121,15.4287
127,196,48.7156
196,127,38.2067
71,111,100.2363
111,71,100.4816
21,126,80.8488
126,21,82.0847
1,96,27.7450
96,1,25.5368
146,58,32.5162
58,146,34.1420
156,106,73.8740
106,156,89.2397
184,44,39.5220
44,184,35.8350
96,28,64.3155
28,96,65.3792
9,104,47.0509
104,9,51.4822
31,64,52.2327
64,31,50.0380
96,172,7.5351
172,96,7.9943
165,62,53.4085
62,165,69.1017
55,119,36.4344
119,55,32.0561
80,170,70.3036
170,80,53.8124
188,23,114.5070
23,188,93.2588
2,5,5.5986
5,2,4.8781
14,42,29.1042
42,14,28.4417
176,109,28.6446
109,176,28.6901
16,133,31.6308
133,16,34.2331
40,100,60.0814
100,40,58.0875
168,54,32.3055
54,168,30.1401
64,140,40.0127
140,64,51.9805
167,83,19.8693
83,167,19.9033
31,162,59.3521
162,31,59.8037
128,169,105.5909
169,128,91.8756
68,97,74.0035
97,68,82.3458
161,24,48.9083
24,161,55.3688
178,45,58.1602
45,178,54.6454
19,181,88.0899
181,19,95.6330
12,1,93.9577
1,12,100.8221
126,91,85.5401
91,126,68.9416
121,137,58.3510
137,121,76.6778
40,112,32.3636
112,40,32.6959
148,147,71.5402
147,148,61.7595
22,76,102.5656
76,22,100.6246
147,199,86.3092
199,147,89.8231
155,13,19.9212
13,155,16.6592
197,14,56.4575
14,197,61.5580
14,151,35.5411
151,14,34.1631
57,116,34.1685
116,57,32.4016
107,96,21.1900
96,107,24.0587
152,72,80.3391
72,152,71.6556
142,174,13.4661
174,142,14.0902
30,13,23.8425
13,30,27.0388
111,182,91.7186
182,111,93.0226
16,116,23.6985
116,16,24.8211
2,167,27.1420
167,2,26.5993
139,47,30.5965
47,139,29.0881
114,16,65.9301
16,114,76.7112
54,170,44.0921
170,54,48.1785
21,95,103.1011
95,21,103.7548
68,185,48.4491
185,68,58.2451
112,79,40.1170
79,112,39.8770
126,159,31.9253
159,126,31.9827
142,131,18.1886
131,142,20.7838
139,99,114.0360
99,139,107.3926
103,89,82.8746
89,103,90.6214
131,144,61.0692
144,131,72.4760
0,41,55.2756
41,0,63.4380
65,171,54.0453
171,65,59.4749
125,17,13.2656
17,125,12.7652
74,176,62.2492
176,74,55.2719
2,82,73.6979
82,2,59.1493
10,38,51.8193
38,10,67.0361
69,104,70.4746
104,69,67.6317
165,197,79.7681
197,165,87.8427
180,117,44.1813
117,180,44.5895
174,92,69.0281
92,174,75.2492
49,80,75.7721
80,49,72.6449
46,19,13.1659
19,46,13.8519
124,146,90.4628
146,124,81.1676
85,91,77.3300
91,85,68.8041
146,51,102.4042
51,146,91.9743
26,192,109.5556
192,26,90.1941
114,115,82.1159
115,114,90.8820
123,67,91.2679
67,123,78.9445
163,196,83.5750
196,163,85.0411
40,108,64.3313
108,40,65.6720
179,180,89.1113
180,179,76.8797
9,168,50.3768
168,9,44.4782
144,136,52.2819
136,144,47.4708
180,90,28.3547
90,180,32.7394
48,76,51.7904
76,48,41.1849
157,153,78.0722
153,157,61.4306
195,126,104.2060
126,195,87.6163
21,76,81.8504
76,21,98.3782
72,37,76.2940
37,72,82.0747
102,38,77.3019
38,102,87.2757
26,101,101.6767
101,26,89.1988
157,82,45.3644
82,157,50.9608
